ID,Type,SKU,Name,Published,"Is featured?","Visibility in catalogue","Short description",Description,"Date sale price starts","Date sale price ends","Tax status","Tax class","In stock?",Stock,"Low stock amount","Backorders allowed?","Sold individually?","Weight (kg)","Length (mm)","Width (mm)","Height (mm)","Allow customer reviews?","Purchase note","Sale price","Regular price",Categories,Tags,"Shipping class",Images,"Download limit","Download expiry days",Parent,"Grouped products",Upsells,Cross-sells,"External URL","Button text",Position,"Meta: _primary_term_product_cat","Meta: icrtouchplu","Meta: woosb_ids","Meta: woosb_disable_auto_price","Meta: woosb_discount","Meta: woosb_shipping_fee","Meta: woosb_optional_products","Meta: woosb_manage_stock","Meta: woosb_limit_each_min","Meta: woosb_limit_each_max","Meta: woosb_limit_whole_min","Meta: woosb_limit_whole_max","Meta: _wpas_done_all","Meta: sharing_disabled","Meta: _wc_local_pickup_plus_local_pickup_product_availability","Meta: woosb_discount_amount","Meta: woosb_limit_each_min_default","Meta: wpfoof-exclude-product","Meta: wpfoof-google","Meta: wpfoof-adsensecustom","Meta: cmplz_hide_cookiebanner","Meta: _last_editor_used_jetpack","Meta: _genesis_description","Meta: _sbi_oembed_done_checking","Meta: _wc_facebook_sync_enabled","Meta: fb_visibility","Meta: fb_product_description","Meta: _wc_facebook_product_image_source","Meta: _wc_facebook_commerce_enabled","Attribute 1 name","Attribute 1 value(s)","Attribute 1 visible","Attribute 1 global","Meta: woosb_total_limits","Meta: woosb_total_limits_min","Meta: woosb_total_limits_max","Meta: woosb_layout","Meta: images","Meta: _images","Meta: _genesis_noindex","Meta: _genesis_nofollow","Meta: _genesis_noarchive","Meta: exclude_local_search","Meta: exclude_from_archive","Meta: woosb_exclude_unpurchasable","Meta: _genesis_title","Meta: _wp_old_date","Meta: _tsf_title_no_blogname","Meta: woosb_show_classic_box_only","Meta: hide_gform_wrapper","Meta: woosb_limit_whole_ignore"
2589,woosb,,"Large Sourdough Donuts (Box of 12)",1,0,visible,,"<h4>Selection of handcrafted Gourmet Sourdough Donuts.</h4>
\n<div><strong>The Classic Box of 12 contains one each of the following:</strong></div>
\n<ul>
\n 	<li>Ferrero Rocher</li>
\n 	<li>Lotus Biscoff</li>
\n 	<li>Red Velvet</li>
\n 	<li>Kinder Deluxe</li>
\n 	<li>Blueberry</li>
\n 	<li>Cookies &amp; Cream</li>
\n 	<li>S'mores</li>
\n 	<li>Coffee Lover</li> 	
\n 	<li>The Dub</li>
\n 	<li>White Kinder</li>
\n 	<li>Traditional Raspberry Jam</li>
\n        <li>Strawberry Cheesecake</li>
\n</ul>
\nPlease note, there are 12 donuts in each box. Quantity 1 = 1 Box of 12.",,,taxable,,1,,,0,0,,,,,0,,,30,"Corporate Orders > Non-Branded Donuts, Personal Orders","Box of 12 donuts, Donuts Dublin, donuts for delivery, dozen of donuts, get donuts online, Sourdough donuts",,"https://www.therollingdonut.ie/wp-content/uploads/2019/05/WhatsApp-Image-2022-10-07-at-2.03.11-PM-1-e1665148641568.jpeg, https://www.therollingdonut.ie/wp-content/uploads/2019/05/WhatsApp-Image-2022-10-07-at-2.03.08-PM-1.jpeg, https://www.therollingdonut.ie/wp-content/uploads/2019/05/WhatsApp-Image-2022-10-07-at-2.03.11-PM.jpeg",,,,,,,,,0,18,,"31408/1,29983/1,2525/1,2513/1,9685/1,2497/1,2553/1,2533/1,13933/1,2509/1,2501/1,13938/0,21942/0,29983/0,2841/0,2904/0,2869/0,2900/0,2517/0,2625/0,9689/0,2578/0,2586/0,5027/0,2574/0,2570/0,2566/0,2561/0,2557/0,29988/0,4651/0,33699/1",on,0,whole,on,off,,,12,12,1,1,inherit,,off,0,0,0,,classic-editor,"The Classic Box of 12 Sourdough Donuts contains our best selling donuts. Made fresh every day!",1,yes,yes,,product,no,,,,,,,,,,,,,,,,,,,,,,
2608,woosb,,"Midi Sourdough Donuts (Box of 20)",1,0,visible,,"<strong>The Classic Box of 20 contains two each of the following:</strong>
\n<ul>
\n 	<li>Lotus Biscoff</li>
\n 	<li>Ferrero Rocher</li>
\n 	<li>Coffee Lover</li>
\n 	<li>Cookies &amp; Cream</li>
\n 	<li>Kinder Bueno</li>
\n 	<li>Red Velvet</li>
\n 	<li>Blueberry Cheesecake</li>
\n 	<li>The Dub</li>
\n 	<li>Strawberry Cheescake</li>
\n 	<li>Victorian Raspberry</li>
\n</ul>
\nPlease note, there are 20 donuts in each box. Quantity 1 = 1 Box of 20.",,,taxable,,1,,,0,0,,,,,0,,,44,"Corporate Orders > Non-Branded Donuts, Personal Orders","corporate lunch, Donuts Dublin, finger food dublin, kinder donut, midi donuts, office donuts, the rolling donut",,"https://www.therollingdonut.ie/wp-content/uploads/2019/05/IMG_2250.jpg, https://www.therollingdonut.ie/wp-content/uploads/2019/05/IMG_2228.jpg, https://www.therollingdonut.ie/wp-content/uploads/2022/06/newletter-image-3.jpg, https://www.therollingdonut.ie/wp-content/uploads/2019/05/IMG_7302-scaled-e1655723486720.jpg",,,,,,,,,0,18,,,on,0,whole,on,off,,,20,20,1,1,inherit,,off,0,0,0,,classic-editor,,1,yes,yes,,product,no,Size,Midi,1,1,off,,,unset,,,,,,,,,,,,,,
2614,woosb,,"Personalised Midi Sourdough Donuts (Box of 20)",1,0,visible,,"<h4>Our delicious donuts are made from the very best ingredients using a recipe that has has been with us for nearly four decades. Our donuts are the perfect treat for any event and also make great office treats. Customise each donut with your company logo or anything else that you might like to put on them.</h4>
\n<strong>The Classic Box of 20 contains two each of the following:</strong>
\n<ul>
\n 	<li>Ferrero Rocher</li>
\n 	<li>Lotus Biscoff</li>
\n 	<li>Red Velvet</li>
\n 	<li>Kinder Deluxe</li>
\n 	<li>Coffee Lover</li>
\n 	<li>Cookies &amp; Cream</li>
\n 	<li>The Dub</li>
\n 	<li>Victoria Raspberry</li>
\n</ul>
\nPlease note, there are 20 donuts in each box. Quantity 1 = 1 Box of 20.",,,taxable,,1,,,0,0,,,,,0,,,50,"Corporate Orders > Branded Donuts","Branded donuts, custom donuts, donuts for events, donuts for wedding, donuts with picture, personalised donuts",,"https://www.therollingdonut.ie/wp-content/uploads/2019/05/IMG_0377.jpg, https://www.therollingdonut.ie/wp-content/uploads/2019/05/IMG_0438.jpg, https://www.therollingdonut.ie/wp-content/uploads/2019/05/IMG_0306.jpg, https://www.therollingdonut.ie/wp-content/uploads/2019/05/WhatsApp-Image-2022-06-02-at-11.55.56-AM-e1654874265913.jpeg, https://www.therollingdonut.ie/wp-content/uploads/2019/05/image-asset.jpeg, https://www.therollingdonut.ie/wp-content/uploads/2020/06/WhatsApp-Image-2022-05-12-at-2.01.26-PM-1.jpeg, https://www.therollingdonut.ie/wp-content/uploads/2019/05/IMG_0410.jpg, https://www.therollingdonut.ie/wp-content/uploads/2020/06/WhatsApp-Image-2022-05-12-at-2.01.26-PM-2.jpeg, https://www.therollingdonut.ie/wp-content/uploads/2018/11/JAMESON2.png, https://www.therollingdonut.ie/wp-content/uploads/2018/11/shed.jpg",,,,,,,,,0,21,,"2514/2,2526/2,9686/2,13939/2,13934/0,2498/2,2534/2,2510/2,2502/2,2554/2,21943/2,29984/0,2626/0,9690/0,5028/0,2583/0,2575/0,2571/0,2587/0,2567/0,2558/0,2562/0,29989/0,33544/0",on,0,whole,on,off,,,20,20,1,1,inherit,,off,0,0,0,,classic-editor,,1,yes,yes,,product,no,,,,,,,,,,,,,,,,,,,,,,
2622,woosb,,"Customised Order",1,0,hidden,,,,,taxable,,1,,,0,0,,,,,0,,,0.01,Uncategorized,,,https://www.therollingdonut.ie/wp-content/uploads/2019/06/display_products-01.png,,,,,,,,,0,15,,,on,0,whole,on,off,,,,,,1,inherit,,off,0,0,0,,classic-editor,,,yes,yes,,product,no,,,,,off,1,99,unset,,field_5cd941d9efca3,1,1,1,1,1,unset,,,,,,
2874,woosb,,"Large Vegan Donuts (Box of 12)",1,0,visible,,"<h4>Our vegan sourdough donuts are made from scratch every day using quality ingredients from our secret recipe.</h4>
\n<strong>The Classic Box of 12 contains each of the following: </strong>
\n<ul>
\n 	<li>Vegan Biscoff</li>
\n 	<li>Lemon &amp; Poppy</li>
\n 	<li>Vanilla Ring</li>
\n 	<li>Raspberry Jam</li>
\n 	<li>Dub</li>
\n 	<li>Ferrero Rocher</li>
\n 	<li>Cookies &amp; Cream</li>
\n 	<li>Coffee &amp; Walnut</li>
\n 	<li>Vanilla Pistachio</li>
\n</ul>
\nPlease note, there are 12 donuts in each box. Quantity 1 = 1 Box of 12.",,,taxable,,1,,,0,0,,,,,0,,,30,"Corporate Orders > Non-Branded Donuts, Personal Orders","Gifts for vegans, Lotus Biscoff donut, Vegan cakes, Vegan donuts, Vegan nutella, Vegan treats, Vegan treats dublin",,"https://www.therollingdonut.ie/wp-content/uploads/2019/06/Vegan-box-of-12-Web-e1659974614846.jpeg, https://www.therollingdonut.ie/wp-content/uploads/2019/06/Vegan-box-zoomed-in-Web.jpeg",,,,,,,,,0,18,,"9689/2,2570/2,2574/2,5027/1,2582/0,2566/1,2586/1,2557/1,2578/1,2561/1,29988/0",on,0,whole,on,off,,,12,12,1,1,inherit,,off,0,0,0,,classic-editor,"The Classic Vegan Box includes a selection of our handcrafted sourdough Vegan Donuts. A perfect gift for any occasion!",1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2876,woosb,,"Unicorn Donuts (Box of 12)",1,0,hidden,,"<h4>Selection of handcrafted Gourmet Sourdough Ring Donuts.</h4>
\n<div><strong>The Ring Donut Box of 12 contains the following:</strong></div>
\n<ul>
\n 	<li>4 White Unicorns</li>
\n 	<li>4 Pink Unicorns</li>
\n 	<li>4 Purple Unicorns</li>
\n</ul>
\nPlease note, there are 12 donuts in each box. Quantity 1 = 1 Box of 12.",,,taxable,,1,,,0,0,,,,,0,,,30,"Corporate Orders > Non-Branded Donuts, Personal Orders",,,https://www.therollingdonut.ie/wp-content/uploads/2019/06/IMG_2567.jpg,,,,,,,,,0,18,,2841/12,on,0,whole,on,off,,,12,12,1,1,inherit,,off,0,0,0,,classic-editor,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2898,woosb,,"Ring Donuts (Box of 12)",1,0,visible,,"<h4>Selection of handcrafted Gourmet Sourdough Ring Donuts.</h4>
\n<div><strong>The Ring Donut Box of 12 contains the following:</strong></div>
\n<ul>
\n 	<li>Sugar Ring x2</li>
\n 	<li>Cinnamon Sugar x2</li>
\n 	<li>Vanilla with Sprinkles x2</li>
\n 	<li>Vanilla Glaze x3</li>
\n 	<li>Chocolate Glaze x3</li>
\n</ul>
